asin,review
B09S6FWS7W,"
Does not fit on my faucet!  The ad makes it look SO easy to just pop it on!
"
B09S6FWS7W,"
Wouldn't fit my kitchen sink
"
B09S6FWS7W,"
The hook part is too narrow.
"
B09S6FWS7W,"
I received the item but I tried to hang it on the kitchen sink faucet and the item is too small so I cannot hang it pretty disappointed :(
"
B09S6FWS7W,"
Waste of money
"
B09S6FWS7W,"
lame, not worth the moneyholes are too bigneck doesn't fit on my faucet
"
B09S6FWS7W,"
Both pieces were damaged.  One had been gouged by something and the other piece is cracked.  The neck curve does not fit my faucet/ sink. Disappointed.  Expected better.
"
B09S6FWS7W,"
Hook did not fit my faucett
"
B09S6FWS7W,"
It did not fit around my faucet as stated.
"
B09S6FWS7W,"
Didn't fit around my kitchen sink
"
B09S6FWS7W,"
I couldn’t use it because the hook was too small and didn’t fit my facet. Total waste of money because I missed the return window.
"
B09S6FWS7W,"
broken on arrival, didn't fit sinks in my home, nor in the home of three others
"
B09S6FWS7W,"
Gross, cheap product that does not fit modern spigots
"
B09S6FWS7W,"
Product is supposed to fit all faucets, and it doesn't.  I just purcahsed and had to return because it was not compatible with my faucet
"
B09S6FWS7W,"
This didn't fit around my kitchen faucet, so I thought about giving it to a friend or family member, but it didn't fit on any of those I tried.
"
B09S6FWS7W,"
Hook was not large enough to go around faucet!
"
B09S6FWS7W,
B09S6FWS7W,"
It does not fit all sinks and faucets.
"
B09S6FWS7W,"
They would be a great product but they do not work on any sink I own the offset is not large enough
"
B09S6FWS7W,"
The newer faucets are way too big at the base for the drain to hang on.
"
B09S6FWS7W,"
Doesn't fit any si k. Waste of money
"
B09S6FWS7W,"
Unable to use with a sink unless the base is round and a certain size.  Doesn't set like it shows on pictures.  Be advised.
"
B09S6FWS7W,"
Received my strainers and attempted to put one on my kitchen faucet but the hook was too small to wrap around the faucet base.  So in order to use it as intended, I will have to cut the gooseneck in order for it to fit around the base of the faucet or just sit it in the sink like every other strainer that I have.
"
B09S6FWS7W,"
This is a great product but didn’t fit my faucet so I can’t use as designed. I can still us it but it has to sit down in the sink.
"
B09S6FWS7W,"
Doesn’t fit around my faucet. I have a normal sink, nothing to big or fancy and this doesn’t fit.
"
B09S6FWS7W,"
The video I saw made this look like it would fit most universal sinks but guess what.... they don't.  It doesn't fit around the pipe of the spout nor will it stay put to use it appropriately.  Great idea in theory but needs work.  I could probably just lay it in the bottom of the sink but that isn't why I wanted this, so I'm returning the 4 pack or selling them at a garage sale.
"
B09S6FWS7W,"
I only need two, so I just threw the other two away, but I expected the plastic to be sturdier. I do not recommend these based on the poor quality. The design is great though, so if they used higher quality plastic that would be better.
"
B09S6FWS7W,"
I was excited to get these -- they looked like they would work. However, after using them, I have found that my faucet is too wide. It works okay, but not the best.
"
